domain,counterexample,repeated_failure_pressure
false_shortcut,impossible_transition,0.667960
false_shortcut,wrong_precondition,0.614980
false_shortcut,hidden_contact,0.623500
false_shortcut,stochastic_slip,0.574420
false_shortcut,perception_alias,0.637840
false_shortcut,tool_infeasibility,0.654520
false_shortcut,nonstationary_obstacle,0.685360
false_shortcut,stale_patch,0.666940
false_shortcut,overblocked_alternative,0.609220
false_shortcut,underblocked_repeat,0.686800
false_shortcut,delayed_consequence,0.665740
false_shortcut,multi_step_dependency,0.677980
false_shortcut,reversible_failure,0.407980
false_shortcut,irreversible_failure,0.594700
blocked_passage,impossible_transition,0.644740
blocked_passage,wrong_precondition,0.595540
blocked_passage,hidden_contact,0.606760
blocked_passage,stochastic_slip,0.559840
blocked_passage,perception_alias,0.625960
blocked_passage,tool_infeasibility,0.634000
blocked_passage,nonstationary_obstacle,0.670780
blocked_passage,stale_patch,0.655060
blocked_passage,overblocked_alternative,0.600580
blocked_passage,underblocked_repeat,0.667144
blocked_passage,delayed_consequence,0.648946
blocked_passage,multi_step_dependency,0.660646
blocked_passage,reversible_failure,0.402040
blocked_passage,irreversible_failure,0.579580
slippery_support,impossible_transition,0.631060
slippery_support,wrong_precondition,0.584830
slippery_support,hidden_contact,0.599650
slippery_support,stochastic_slip,0.553270
slippery_support,perception_alias,0.625240
slippery_support,tool_infeasibility,0.623020
slippery_support,nonstationary_obstacle,0.665560
slippery_support,stale_patch,0.652090
slippery_support,overblocked_alternative,0.600670
slippery_support,underblocked_repeat,0.658360
slippery_support,delayed_consequence,0.641530
slippery_support,multi_step_dependency,0.653770
slippery_support,reversible_failure,0.400330
slippery_support,irreversible_failure,0.572650
movable_obstacle,impossible_transition,0.603160
movable_obstacle,wrong_precondition,0.559540
movable_obstacle,hidden_contact,0.572380
movable_obstacle,stochastic_slip,0.530500
movable_obstacle,perception_alias,0.594640
movable_obstacle,tool_infeasibility,0.595480
movable_obstacle,nonstationary_obstacle,0.639280
movable_obstacle,stale_patch,0.627340
movable_obstacle,overblocked_alternative,0.576820
movable_obstacle,underblocked_repeat,0.627472
movable_obstacle,delayed_consequence,0.614908
movable_obstacle,multi_step_dependency,0.624268
movable_obstacle,reversible_failure,0.388540
movable_obstacle,irreversible_failure,0.549340
tool_precondition,impossible_transition,0.621520
tool_precondition,wrong_precondition,0.576100
tool_precondition,hidden_contact,0.590020
tool_precondition,stochastic_slip,0.545260
tool_precondition,perception_alias,0.614080
tool_precondition,tool_infeasibility,0.613480
tool_precondition,nonstationary_obstacle,0.656200
tool_precondition,stale_patch,0.643180
tool_precondition,overblocked_alternative,0.591940
tool_precondition,underblocked_repeat,0.647488
tool_precondition,delayed_consequence,0.632152
tool_precondition,multi_step_dependency,0.643312
tool_precondition,reversible_failure,0.396100
tool_precondition,irreversible_failure,0.564460
grasp_precondition,impossible_transition,0.593620
grasp_precondition,wrong_precondition,0.550810
grasp_precondition,hidden_contact,0.562750
grasp_precondition,stochastic_slip,0.522490
grasp_precondition,perception_alias,0.583480
grasp_precondition,tool_infeasibility,0.585940
grasp_precondition,nonstationary_obstacle,0.629920
grasp_precondition,stale_patch,0.618430
grasp_precondition,overblocked_alternative,0.568090
grasp_precondition,underblocked_repeat,0.616600
grasp_precondition,delayed_consequence,0.605530
grasp_precondition,multi_step_dependency,0.613810
grasp_precondition,reversible_failure,0.384310
grasp_precondition,irreversible_failure,0.541150
latch_dependency,impossible_transition,0.636370
latch_dependency,wrong_precondition,0.589870
latch_dependency,hidden_contact,0.605680
latch_dependency,stochastic_slip,0.558220
latch_dependency,perception_alias,0.632980
latch_dependency,tool_infeasibility,0.628600
latch_dependency,nonstationary_obstacle,0.671590
latch_dependency,stale_patch,0.658030
latch_dependency,overblocked_alternative,0.606790
latch_dependency,underblocked_repeat,0.665092
latch_dependency,delayed_consequence,0.647353
latch_dependency,multi_step_dependency,0.660403
latch_dependency,reversible_failure,0.403120
latch_dependency,irreversible_failure,0.577690
door_hinge_limit,impossible_transition,0.576340
door_hinge_limit,wrong_precondition,0.535600
door_hinge_limit,hidden_contact,0.547540
door_hinge_limit,stochastic_slip,0.509620
door_hinge_limit,perception_alias,0.568360
door_hinge_limit,tool_infeasibility,0.569560
door_hinge_limit,nonstationary_obstacle,0.615700
door_hinge_limit,stale_patch,0.605560
door_hinge_limit,overblocked_alternative,0.556480
door_hinge_limit,underblocked_repeat,0.599176
door_hinge_limit,delayed_consequence,0.590554
door_hinge_limit,multi_step_dependency,0.597574
door_hinge_limit,reversible_failure,0.378100
door_hinge_limit,irreversible_failure,0.527920
cable_snag,impossible_transition,0.660760
cable_snag,wrong_precondition,0.612370
cable_snag,hidden_contact,0.630970
cable_snag,stochastic_slip,0.579190
cable_snag,perception_alias,0.663040
cable_snag,tool_infeasibility,0.653260
cable_snag,nonstationary_obstacle,0.696340
cable_snag,stale_patch,0.681790
cable_snag,overblocked_alternative,0.630370
cable_snag,underblocked_repeat,0.693568
cable_snag,delayed_consequence,0.671932
cable_snag,multi_step_dependency,0.687952
cable_snag,reversible_failure,0.414370
cable_snag,irreversible_failure,0.599110
fragile_support,impossible_transition,0.616300
fragile_support,wrong_precondition,0.572770
fragile_support,hidden_contact,0.590110
fragile_support,stochastic_slip,0.544810
fragile_support,perception_alias,0.620200
fragile_support,tool_infeasibility,0.610420
fragile_support,nonstationary_obstacle,0.657640
fragile_support,stale_patch,0.646150
fragile_support,overblocked_alternative,0.597250
fragile_support,underblocked_repeat,0.646984
fragile_support,delayed_consequence,0.631846
fragile_support,multi_step_dependency,0.644086
fragile_support,reversible_failure,0.397270
fragile_support,irreversible_failure,0.563830
narrow_passage,impossible_transition,0.589120
narrow_passage,wrong_precondition,0.548380
narrow_passage,hidden_contact,0.564460
narrow_passage,stochastic_slip,0.523300
narrow_passage,perception_alias,0.592480
narrow_passage,tool_infeasibility,0.583960
narrow_passage,nonstationary_obstacle,0.633160
narrow_passage,stale_patch,0.623380
narrow_passage,overblocked_alternative,0.575740
narrow_passage,underblocked_repeat,0.617824
narrow_passage,delayed_consequence,0.606736
narrow_passage,multi_step_dependency,0.616456
narrow_passage,reversible_failure,0.386380
narrow_passage,irreversible_failure,0.541780
shelf_occlusion,impossible_transition,0.582190
shelf_occlusion,wrong_precondition,0.544510
shelf_occlusion,hidden_contact,0.566620
shelf_occlusion,stochastic_slip,0.524200
shelf_occlusion,perception_alias,0.605260
shelf_occlusion,tool_infeasibility,0.580720
shelf_occlusion,nonstationary_obstacle,0.637570
shelf_occlusion,stale_patch,0.630310
shelf_occlusion,overblocked_alternative,0.586630
shelf_occlusion,underblocked_repeat,0.619228
shelf_occlusion,delayed_consequence,0.608167
shelf_occlusion,multi_step_dependency,0.619957
shelf_occlusion,reversible_failure,0.389260
shelf_occlusion,irreversible_failure,0.542410
bin_clutter,impossible_transition,0.598750
bin_clutter,wrong_precondition,0.558820
bin_clutter,hidden_contact,0.580210
bin_clutter,stochastic_slip,0.535810
bin_clutter,perception_alias,0.617500
bin_clutter,tool_infeasibility,0.596020
bin_clutter,nonstationary_obstacle,0.649990
bin_clutter,stale_patch,0.641200
bin_clutter,overblocked_alternative,0.595900
bin_clutter,underblocked_repeat,0.634924
bin_clutter,delayed_consequence,0.621631
bin_clutter,multi_step_dependency,0.634321
bin_clutter,reversible_failure,0.394570
bin_clutter,irreversible_failure,0.554380
peg_alignment,impossible_transition,0.626110
peg_alignment,wrong_precondition,0.580240
peg_alignment,hidden_contact,0.594430
peg_alignment,stochastic_slip,0.548950
peg_alignment,perception_alias,0.618940
peg_alignment,tool_infeasibility,0.617980
peg_alignment,nonstationary_obstacle,0.660430
peg_alignment,stale_patch,0.647140
peg_alignment,overblocked_alternative,0.595720
peg_alignment,underblocked_repeat,0.652492
peg_alignment,delayed_consequence,0.636463
peg_alignment,multi_step_dependency,0.648073
peg_alignment,reversible_failure,0.397990
peg_alignment,irreversible_failure,0.568240
drawer_friction,impossible_transition,0.608470
drawer_friction,wrong_precondition,0.564580
drawer_friction,hidden_contact,0.578410
drawer_friction,stochastic_slip,0.535450
drawer_friction,perception_alias,0.602380
drawer_friction,tool_infeasibility,0.601060
drawer_friction,nonstationary_obstacle,0.645310
drawer_friction,stale_patch,0.633280
drawer_friction,overblocked_alternative,0.582940
drawer_friction,underblocked_repeat,0.634204
drawer_friction,delayed_consequence,0.620731
drawer_friction,multi_step_dependency,0.630901
drawer_friction,reversible_failure,0.391330
drawer_friction,irreversible_failure,0.554380
handle_ambiguity,impossible_transition,0.642040
handle_ambiguity,wrong_precondition,0.595360
handle_ambiguity,hidden_contact,0.612520
handle_ambiguity,stochastic_slip,0.563800
handle_ambiguity,perception_alias,0.642160
handle_ambiguity,tool_infeasibility,0.634720
handle_ambiguity,nonstationary_obstacle,0.678520
handle_ambiguity,stale_patch,0.664960
handle_ambiguity,overblocked_alternative,0.614080
handle_ambiguity,underblocked_repeat,0.672688
handle_ambiguity,delayed_consequence,0.653932
handle_ambiguity,multi_step_dependency,0.667972
handle_ambiguity,reversible_failure,0.406360
handle_ambiguity,irreversible_failure,0.583360
push_blockage,impossible_transition,0.596770
push_blockage,wrong_precondition,0.553150
push_blockage,hidden_contact,0.563920
push_blockage,stochastic_slip,0.523660
push_blockage,perception_alias,0.582580
push_blockage,tool_infeasibility,0.588280
push_blockage,nonstationary_obstacle,0.630550
push_blockage,stale_patch,0.618430
push_blockage,overblocked_alternative,0.567190
push_blockage,underblocked_repeat,0.618148
push_blockage,delayed_consequence,0.606817
push_blockage,multi_step_dependency,0.614827
push_blockage,reversible_failure,0.384400
push_blockage,irreversible_failure,0.542410
pull_detachment,impossible_transition,0.616570
pull_detachment,wrong_precondition,0.571510
pull_detachment,hidden_contact,0.584800
pull_detachment,stochastic_slip,0.540940
pull_detachment,perception_alias,0.607780
pull_detachment,tool_infeasibility,0.608440
pull_detachment,nonstationary_obstacle,0.651070
pull_detachment,stale_patch,0.638230
pull_detachment,overblocked_alternative,0.586990
pull_detachment,underblocked_repeat,0.641620
pull_detachment,delayed_consequence,0.627085
pull_detachment,multi_step_dependency,0.637615
pull_detachment,reversible_failure,0.393760
pull_detachment,irreversible_failure,0.560050
support_collapse,impossible_transition,0.664270
support_collapse,wrong_precondition,0.615160
support_collapse,hidden_contact,0.632950
support_collapse,stochastic_slip,0.580990
support_collapse,perception_alias,0.663580
support_collapse,tool_infeasibility,0.656140
support_collapse,nonstationary_obstacle,0.697870
support_collapse,stale_patch,0.682780
support_collapse,overblocked_alternative,0.630640
support_collapse,underblocked_repeat,0.695980
support_collapse,delayed_consequence,0.673975
support_collapse,multi_step_dependency,0.689905
support_collapse,reversible_failure,0.414910
support_collapse,irreversible_failure,0.601000
handoff_mismatch,impossible_transition,0.585970
handoff_mismatch,wrong_precondition,0.546040
handoff_mismatch,hidden_contact,0.563290
handoff_mismatch,stochastic_slip,0.522130
handoff_mismatch,perception_alias,0.593380
handoff_mismatch,tool_infeasibility,0.581620
handoff_mismatch,nonstationary_obstacle,0.632530
handoff_mismatch,stale_patch,0.623380
handoff_mismatch,overblocked_alternative,0.576640
handoff_mismatch,underblocked_repeat,0.616276
handoff_mismatch,delayed_consequence,0.605449
handoff_mismatch,multi_step_dependency,0.615439
handoff_mismatch,reversible_failure,0.386290
handoff_mismatch,irreversible_failure,0.540520
conveyor_drift,impossible_transition,0.576520
conveyor_drift,wrong_precondition,0.539020
conveyor_drift,hidden_contact,0.559780
conveyor_drift,stochastic_slip,0.518620
conveyor_drift,perception_alias,0.596080
conveyor_drift,tool_infeasibility,0.574600
conveyor_drift,nonstationary_obstacle,0.630640
conveyor_drift,stale_patch,0.623380
conveyor_drift,overblocked_alternative,0.579340
conveyor_drift,underblocked_repeat,0.611632
conveyor_drift,delayed_consequence,0.601588
conveyor_drift,multi_step_dependency,0.612388
conveyor_drift,reversible_failure,0.386020
conveyor_drift,irreversible_failure,0.536740
fixture_tolerance,impossible_transition,0.605320
fixture_tolerance,wrong_precondition,0.562240
fixture_tolerance,hidden_contact,0.577240
fixture_tolerance,stochastic_slip,0.534280
fixture_tolerance,perception_alias,0.603280
fixture_tolerance,tool_infeasibility,0.598720
fixture_tolerance,nonstationary_obstacle,0.644680
fixture_tolerance,stale_patch,0.633280
fixture_tolerance,overblocked_alternative,0.583840
fixture_tolerance,underblocked_repeat,0.632656
fixture_tolerance,delayed_consequence,0.619444
fixture_tolerance,multi_step_dependency,0.629884
fixture_tolerance,reversible_failure,0.391240
fixture_tolerance,irreversible_failure,0.553120
battery_constraint,impossible_transition,0.523420
battery_constraint,wrong_precondition,0.488620
battery_constraint,hidden_contact,0.499480
battery_constraint,stochastic_slip,0.469120
battery_constraint,perception_alias,0.518680
battery_constraint,tool_infeasibility,0.518800
battery_constraint,nonstationary_obstacle,0.570340
battery_constraint,stale_patch,0.563980
battery_constraint,overblocked_alternative,0.518140
battery_constraint,underblocked_repeat,0.544312
battery_constraint,delayed_consequence,0.543358
battery_constraint,multi_step_dependency,0.546058
battery_constraint,reversible_failure,0.358120
battery_constraint,irreversible_failure,0.486340
multi_room_recovery,impossible_transition,0.649780
multi_room_recovery,wrong_precondition,0.601840
multi_room_recovery,hidden_contact,0.618100
multi_room_recovery,stochastic_slip,0.568660
multi_room_recovery,perception_alias,0.646120
multi_room_recovery,tool_infeasibility,0.641560
multi_room_recovery,nonstationary_obstacle,0.683380
multi_room_recovery,stale_patch,0.668920
multi_room_recovery,overblocked_alternative,0.616960
multi_room_recovery,underblocked_repeat,0.679240
multi_room_recovery,delayed_consequence,0.659530
multi_room_recovery,multi_step_dependency,0.673750
multi_room_recovery,reversible_failure,0.408340
multi_room_recovery,irreversible_failure,0.588400
